shape,rid,role,text,name,note,processor_flagged
"H1 homograph list / stray comma — settled: HW-H1-xref — a numeral list is display only","A00883","headword","אוּרְיָה  I, II","אוּרְיָה I II","cross-reference to two homographs","false"
"H1 homograph list / stray comma — settled: HW-H1-xref — a numeral list is display only","A02356","headword","אִסְטְוָוא  I, II,","אִסְטְוָוא I II","cross-reference to two homographs","false"
"H1 homograph list / stray comma — settled: HW-H1-xref — a numeral list is display only","B00098","headword","בַּד  V","בַּד V","double space","false"
"H1 homograph list / stray comma — settled: HW-H1-xref — a numeral list is display only","B00407","headword","בְּזָא  I, II,","בְּזָא I II","cross-reference to two homographs","false"
"H1 homograph list / stray comma — settled: HW-H1-xref — a numeral list is display only","B00443","headword","בִּזְיוּנָא , II","בִּזְיוּנָא II","stray comma","false"
"H1 homograph list / stray comma — settled: HW-H1-xref — a numeral list is display only","C00329","headword","גַּוָּוזָא , II","גַּוָּוזָא II","stray comma","false"
"H1 homograph list / stray comma — settled: HW-H1-xref — a numeral list is display only","D00844","headword","דִּלְמָא  I, II,","דִּלְמָא I II","cross-reference to two homographs","false"
"H1 homograph list / stray comma — settled: HW-H1-xref — a numeral list is display only","E00508","headword","הָכֵין  I, II","הָכֵין I II","cross-reference to two homographs","false"
"H1 homograph list / stray comma — settled: HW-H1-xref — a numeral list is display only","G00675","headword","זָרָה  I, II","זָרָה I II","cross-reference to two homographs","false"
"H1 homograph list / stray comma — settled: HW-H1-xref — a numeral list is display only","M00447","headword","מוֹזְלָא , I","מוֹזְלָא I","stray comma","false"
"H2 parentheses — settled: HW-H2-open — flagged paren-group-close-unknown","A01394","alt","אֵינָשׁ) אִינְשָׁא","אֱינָשׁ","paren-unbalanced","false"
"H2 parentheses — settled: HW-H2-open — flagged paren-group-close-unknown","G00374","headword","(זִימְרָא","זִימְרָא","paren-unbalanced","false"
"H2 parentheses — settled: HW-H2-open — flagged paren-group-close-unknown","L00587","headword","(לִסְטֵם","לִסְטֵם","paren-unbalanced","false"
"H2 parentheses — settled: HW-H2-open — flagged paren-group-close-unknown","P00223","headword","(עוּזְרָד","עוּזְרָד","paren-unbalanced","false"
"H2 parentheses — settled: HW-H2-open — flagged paren-group-close-unknown","P00224","headword","(עוּזְרָד ²","עוּזְרָד ²","paren-unbalanced","false"
"H2 parentheses — settled: HW-H2-open — flagged paren-group-close-unknown","Q00370","headword","(פורסישמנג","פורסישמנג","paren-unbalanced","false"
"H2 parentheses — settled: HW-H2-open — flagged paren-group-close-unknown","S01421","headword","(קַלְקַנְתּוּם","קַלְקַנְתּוּם","paren-unbalanced","false"
"H2 parentheses — settled: HW-paren — grouping is structure in display","A00610","headword","*(אוזפיה)","*אוזפיה","paren-whole","false"
"H2 parentheses — settled: HW-paren — grouping is structure in display","A01480","alt","אִיסְפְּלָנִית(א)","אִיסְפְּלִידָא","paren-optional-letters","false"
"H2 parentheses — settled: HW-paren — grouping is structure in display","S00099","headword","(קְבַרְיָא)","קְבַרְיָא","paren-whole","false"
"H2 parentheses — settled: HW-paren — grouping is structure in display","S01624","headword","(קנתור)","קנתור","paren-whole","false"
"H3 query mark — settled: HW-query — the `?` is display only","A00077","alt","?אִיבּוּס","אֵבוּס","","false"
"H3 query mark — settled: HW-query — the `?` is display only","B00825","headword","*(?)בַּלְוָוטִי","*בַּלְוָוטִי","","false"
